profile_id	shape_id	behavior_class	amplitude	approach_power	A_source	source_x	status	endpoint_reached	numerically_certified	affine_final	endpoint_x_observed	endpoint_det_D	minimum_D_singular_value_sampled	caustic_sign_change_sampled	null_residual	screen_gram_residual	screen_ray_residual	p_t_residual	p_psi_residual	nfev
G75_AM_S42_E50	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	7.3827927410230059	1.9997558444720196	13.015459930351664	0	False	5.2288259142886638e-15	1.3233858453531866e-13	6.5239480484535761e-14	6.106226635438361e-15	1.915134717478395e-15	44312
G75_AM_S42_E100	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	7.8717609542171552	1.9364916731037085	15.747283193412919	0	False	2.2499363483419188e-15	1.9984014443252818e-14	1.1657341758564144e-15	2.2204460492503131e-14	1.9428902930940239e-15	47237
G75_AM_S42_E100	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	11.416609473544327	1.9960899278339139	25.451502916870304	0	False	2.1701390684469857e-15	5.7842619582970656e-14	1.1407541578023483e-14	2.7977620220553945e-14	3.7192471324942744e-15	68507
G75_AM_S42_E100	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	12.337361889701418	1.9997558444720196	28.062213636640685	0	False	1.0562159303472814e-14	2.595701431573616e-13	9.3695884384459305e-14	3.6193270602780103e-14	4.5241588253475129e-15	74027
G75_AM_S43_E05	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.0224819890293007	1.9364916731037085	3.2456443627700882	0	False	1.193191981245072e-15	6.8833827526759706e-15	3.4416913763379853e-15	3.3306690738754696e-15	3.2265856653168612e-15	12137
G75_AM_S43_E05	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.4618933990269847	1.9960899278339139	3.9745556285781727	0	False	1.1844105482329472e-15	9.7699626167013776e-15	1.8096635301390052e-14	5.773159728050814e-15	5.8911209244172369e-15	14777
G75_AM_S43_E05	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.5773333005643773	1.9997558444720196	4.1505779941180236	0	False	1.1690100512601515e-15	1.5631940186722204e-13	2.8943514251977831e-13	6.8833827526759706e-15	6.3352101342672995e-15	15467
G75_AM_S43_E20	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	3.7145812150929771	1.9364916731037085	4.9452055708822229	0	False	1.5066290229293067e-14	8.659739592076221e-15	1.9984014443252818e-15	1.354472090042691e-14	1.0852430065710905e-14	22292
G75_AM_S43_E20	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	5.5024489684947815	1.9960899278339139	7.4693320430939769	0	False	1.7185254955198737e-14	1.9095836023552692e-14	8.3960616237277463e-15	1.2212453270876722e-14	9.5201624361607173e-15	33017
G75_AM_S43_E20	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	5.977532148109983	1.9997558444720196	8.1737896944400141	0	False	1.7000073224138212e-14	9.0150109599562711e-14	4.0814573942782317e-14	1.27675647831893e-14	1.0075273948473296e-14	35882
