transform_id	configuration_id	carrier_id	mask_id	mask_integer	bank	point_id	primary_status	split_status	q_eigenvalues	h_eigenvalues	split_forward_residual	shear_rank	twist_rank	shear_max_abs	twist_max_abs	metric_twojet_residual	cartan_covariance_residual	determinant_weight_residual	ricci_contraction_residual	scalar_contraction_residual	weyl_trace_max_abs	inverse_roundtrip_residual	metric_determinant	metric_inertia	retained	physical_merit
C03_CROSS_GENERAL	R15_3_M4_B3_P7	R15_3	M4	4	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0471633168238734;1.3534776645533899	-1.1545242039699819;0.90739162183820343	2.7755575615628914e-17	2	1	0.1001969076250185	0.11160102153927444	1.733615734415986e-16	4.163336342344337e-17	5.981868977610672e-16	2.7755575615628914e-17	5.551115123125783e-17	4.163336342344337e-17	1.7466647263354526e-16	-1.4847841419202887	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M5_B3_P7	R15_3	M5	5	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0470619249325079;1.3524981539670997	-1.2220055451181639;0.90532459222296513	2.7755575615628914e-17	2	1	0.10085659841223855	0.1495288566575504	1.734923378648835e-16	6.938893903907228e-17	1.4172735522670975e-16	4.163336342344337e-17	0.0	4.163336342344337e-17	1.7466647263354526e-16	-1.5667025223877538	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M6_B3_P7	R15_3	M6	6	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	0.97422140089494291;1.2069228683608393	-1.1557395395920338;0.90455038982368918	2.7755575615628914e-17	2	1	0.06976093951822215	0.14768127544004273	1.8605597474322407e-16	4.163336342344337e-17	3.612769907489875e-16	2.7755575615628914e-17	0.0	4.85722573273506e-17	1.87053898630259e-16	-1.2292208505429358	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M7_B3_P7	R15_3	M7	7	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	0.97417521475462909;1.2058881520234976	-1.2233781992966999;0.90250226248348853	2.7755575615628914e-17	2	1	0.08370299105553303	0.19093958661893187	1.8416382771380068e-16	8.326672684688674e-17	3.423868533046363e-16	2.7755575615628914e-17	1.1102230246251565e-16	6.245004513516506e-17	3.6253728320178123e-16	-1.2970393155105682	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M8_B3_P7	R15_3	M8	8	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	0	0	0.0	0.0	1.721357532173647e-16	0.0	4.486401733208005e-16	0.0	0.0	0.0	2.1833309079193157e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M9_B3_P7	R15_3	M9	9	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057357956616122;1.3604964917682172	-1.2134754703560833;0.89750334721754743	5.551115123125783e-17	2	1	0.024729655467408386	0.037129524254605153	1.722646742498251e-16	2.0816681711721685e-17	2.8345471045341954e-16	5.551115123125783e-17	2.7755575615628914e-17	1.734723475976807e-17	8.326672684688674e-17	-1.5667025223877535	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_MA_B3_P7	R15_3	MA	10	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	0.98306131850325618;1.2149534104408364	-1.1476421742274276;0.89677436780945952	1.3877787807814457e-17	2	1	0.08303686722021009	0.03289466390878593	1.8468964393897754e-16	4.163336342344337e-17	5.419154861234815e-16	5.724587470723463e-17	2.7755575615628914e-17	4.876716743038842e-17	1.87053898630259e-16	-1.2292208505429356	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_MB_B3_P7	R15_3	MB	11	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	0.98301472044603633;1.2139191060204007	-1.2148233150977594;0.89472640403286463	2.3104757906486175e-17	2	1	0.10020592579389855	0.07523231208512834	1.1102230246251565e-16	5.551115123125783e-17	0.0	6.245004513516506e-17	5.551115123125783e-17	5.204170427930421e-17	1.818623473462449e-16	-1.297039315510568	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_MC_B3_P7	R15_3	MC	12	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0471633168238734;1.3534776645533899	-1.1545242039699819;0.90739162183820343	2.7755575615628914e-17	2	1	0.1001969076250185	0.11160102153927444	1.733615734415986e-16	4.163336342344337e-17	5.981868977610672e-16	2.7755575615628914e-17	5.551115123125783e-17	4.163336342344337e-17	1.7466647263354526e-16	-1.4847841419202887	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_MD_B3_P7	R15_3	MD	13	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0470619249325079;1.3524981539670997	-1.2220055451181639;0.90532459222296513	2.7755575615628914e-17	2	1	0.10085659841223855	0.1495288566575504	1.734923378648835e-16	6.938893903907228e-17	1.4172735522670975e-16	4.163336342344337e-17	0.0	4.163336342344337e-17	1.7466647263354526e-16	-1.5667025223877538	1,3,0	YES	NOT_EVALUATED
