candidate_id	profile_id	a	loop_id	parameter_name	parameter_value	H_independent	H_reverse_independent	primary_difference	orientation_reversal_error	agreement_threshold	status
C09	C09	1	PN05	delta	0.1	0.000000513116254828754715424765224109037373859781374916447962142987930616952203657317379013158234495944129808666980057749765868055	-0.000000513116254828754715424765224109037373859781374916447962142987930616952203657317379013158234495944129808666980057749765868055	8.6129393051514918092342200580421019942250234131900506322214239194479728452650656499730110596824911914840048410537206654318979e-80	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PS01	delta	0.05	0.00041654791620631185104809933122298935219490983770118314369918843573153440523850858692533127121637911448286543244947720501801843	-0.00041654791620631185104809933122298935219490983770118314369918843573153440523850858692533127121637911448286543244947720501801843	6.9424652701051975174485243244947720501799905382590934362953052293854242322126655851915058509816297276623642621313766050748283e-85	0.0	4.1654791620631185104809933122298935219490983770118314369918843573153440523850858623108474420585936273801300000000000000002266e-69	PASS_INDEPENDENT
C09	C09	1	PS01	delta	0.1	0.0015784830698370046501471883459334923792161531229051112863246868101739972571014853500108093567083135623812565449907661601163147	-0.0015784830698370046501471883459334923792161531229051112863246868101739972571014853500108093567083135623812565449907661601163147	2.6308051163950077502742865449907661601162217195044141716110080647047629377405531015269278900267705687301362930306290365059198e-84	0.0	1.5784830698370046501471883459334923792161531229051112863246868101739972571014853473800042403133058121069700000000000000000075e-68	PASS_INDEPENDENT
C09	C09	1	PS02	delta	0.05	0.00041658472105754431817337338944985871775704585337402309040557311870796731659760499639425742319707658428095265666254377252281491	-0.00041658472105754431817337338944985871775704585337402309040557311870796731659760499639425742319707658428095265666254377252281491	6.9430786842924053028698565666254377252281193400036435611652317972538062375477292760103221074493909628836089448502004577979596e-85	0.0	4.1658472105754431817337338944985871775704585337402309040557311870796731659760499569994955476783605399396699999999999999997495e-69	PASS_INDEPENDENT
C09	C09	1	PS02	delta	0.1	0.001578563301666588542475039794748876100486288811190127655698787136378359341350636590492136894274139653200644325026502637221785	-0.001578563301666588542475039794748876100486288811190127655698787136378359341350636590492136894274139653200644325026502637221785	2.6309388361109809041531043250265026372218752579406200765737500299071431271707202627238197710909572758227815787979284495482823e-84	0.0	1.5785633016665885424750397947488761004862888111901276556987871363783593413506365878611980581631587490475399999999999999999278e-68	PASS_INDEPENDENT
C09	C09	1	PS03	delta	0.05	-0.000000029094467241454708626358632340359353006229199850271895006938060355210338848372638754763209914417628877797414042795934931639581	0.000000029094467241454708626358632340359353006229199850271895006938060355210338848372638754763209914417628877797414042795934931639581	4.8490778735757847778231914042795934931640724532003689512154457053394410899610459095812923861985757383838644835658601112782164e-89	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PS03	delta	0.1	-0.00000011958449742780577298533989059842212928499443268544136923272848658739321570120053345509649217806663840191951599687580416053367	0.00000011958449742780577298533989059842212928499443268544136923272848658739321570120053345509649217806663840191951599687580416053367	1.9930749571300962181025451599687580416053193752132563145287821613298509175727860424696070900556359865806307434966628946992843e-88	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PS04	delta	0.05	-0.000000029099090094054048095356126334439746507427770076845454937885591492089903910328934403151786347403842863929839361983002951124436	0.000000029099090094054048095356126334439746507427770076845454937885591492089903910328934403151786347403842863929839361983002951124436	4.8498483490090080164671739361983002951123645461909106624712055188263257827079871513065490179089945194434654675639555292219898e-89	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PS04	delta	0.1	-0.00000011962119245183952297540386371293403408712006821242463293178839190436884470417762768723326482564492268196654294462177135745913	0.00000011962119245183952297540386371293403408712006821242463293178839190436884470417762768723326482564492268196654294462177135745913	1.9936865408639920495468054294462177135746910218324556852897806907096793531950040120743797345797937688641636979421367491649683e-88	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PS05	delta	0.05	-0.000000048179403095049443339935591677656341475871569137663503922248492084632578830831323043322266984508681325424789756040547613342338	0.000000048179403095049443339935591677656341475871569137663503922248492084632578830831323043322266984508681325424789756040547613342338	7.1391052284097262690495388448058889756040547613339753820918423136368959392791824249525765902297844803309791861143330609185199e-80	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PS05	delta	0.1	-0.00000047718911818513259423560311817616215188865441519150500535952938962676040643563689078696627996432569637131371534320109726239223	0.00000047718911818513259423560311817616215188865441519150500535952938962676040643563689078696627996432569637131371534320109726239223	7.0454678970316892563954005203199284656798902737584022078268350734393528693547246067607930300972558520976345148327161985474642e-80	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
